Strike Dip Elevation
269 10 247.24
065 10 249.21
090 29 250.16
089 19 251.45
080 29 252.92
078 36 254.04
079 42 255.36
002 03 256.19
106 12 256.79
096 23 256.74
094 29 256.2
076 33 254.21
079 35 252.33
080 39 251.25
067 53 249.78
079 41 247.67
087 42 245.72
084 37 243.18
101 33 238.85
076 15 235.06
106 16 251.91
240 13 250.47
249 23 249.18
254 26 246.72
264 26 243.89
267 80 240.4
261 87 237.56
265 68 234.5
265 62 249.65
261 53 247.28
234 52 244.85
216 35 242.02
273 32 239.84
222 18 236.61
098 22 243.35
081 09 240.87
088 24 237.32
081 28 254.83
079 37 254.67
079 46 252.81
087 46 251.4
094 55 250.39
082 24 249
119 30 247.43
081 23 245
069 19 253.28
358 07 252.66
213 16 251.31
255 20 249.48
257 27 247.8
266 38 247.04
257 43 248.25
256 65 249.47
255 79 247.98
254 70 251.8
266 72 253.2
246 73 254.41
249 88 257.23
246 84 257.92
264 80 257.15
072 83 255.56
255 89 254.15
258 86 252.86
257 76 251.69
080 90 250.86
255 35 249.25
259 29 247.11
282 37 245.3
258 57 241.1
261 78 240.62
260 23 242.15
261 40 245.96
261 68 247.77
267 57 249.79
270 37 251.64
268 35 253.36
272 16 254.66
085 36 255.98
227 06 258.12
063 05 257.58
073 22 256.81
078 25 253.48
275 18 251.99
096 01 250.32
069 18 248.73
085 17 245.23
089 39 245.57
094 33 248.77
080 39 250.13
087 57 251.8
225 69 253.2
261 68 254.8
258 84 255.75
081 88 256.96
255 69 255.74
255 74 254.26
249 87 252.16
069 82 251.5
261 48 249.55
253 59 247.75
250 68 245.37
260 77 242.82
247 52 243.58
261 53 247.98
262 40 249.91
261 32 252.17
267 17 253.89
294 10 255.02
262 16 256.27
075 15 259.55
081 23 258.71
073 20 256.35
072 36 255.13
097 58 254.09
075 33 252.46
081 52 250.93
083 80 248.77
074 65 248.89
099 66 250.82
087 56 252.99
075 34 254.53
082 33 256.19
088 24 257.28
077 23 258.31
277 15 259.52
241 06 260.06
242 04 259.98
259 17 259.17
263 22 257.54
253 36 256.52
255 51 255.46
256 52 254.41
254 63 253.57
256 76 252.27
254 72 249.63
257 68 253.11
259 53 254.64
258 45 255.85
257 37 243.4
257 28 246.51
275 18 234.57
277 11 236.3
080 05 238.78
195 05 235.45
079 30 237.51
084 31 243.61
079 34 247.08
078 47 250.05
090 70 253.03
075 57 255.01
095 46 256.65
088 69 258.27
099 69 260.02
091 45 260.35
086 43 260.24
072 37 259.96
082 35 258.69
081 27 257.96
077 27 257.14
070 16 255.86
197 04 254.72
186 08 253.32
228 33 252.06
247 31 249.78
269 35 248.04
260 55 247.85
262 56 250.87
237 76 253.46
062 84 255.05
248 90 256.15
245 69 257.41
246 64 258.37
264 53 259.08
259 41 259.76
263 29 260.41
277 31 260.57
250 05 258.69
200 06 257.46
099 27 256.02
080 30 254.77
083 34 253.51
082 47 252.09
079 89 247.86
082 41 244.7
083 37 242.3
069 27 236.61
116 46 240.77
093 05 244.92
269 14 249.29
263 12 252.94
247 28 255.69
251 29 258.14
212 29 259.52
247 53 260.15
246 65 261.18
250 75 261.75
262 81 262.01
261 81 261.16
082 83 260.1
082 87 259.05
258 82 258.02
250 65 256.97
259 71 252.56
247 68 254.26
253 51 255.74
240 39 257.03
245 31 261.91
234 44 261.21
212 04 260.04
119 12 258.71
065 18 261.23
070 25 259.69
077 32 258.13
080 39 256.17
084 41 255.61
102 57 254.21
083 48 250.86
094 37 252.03
126 16 249.1
084 27 246.99
071 22 249.02
093 11 248.52
063 12 249.96
199 05 252.02
320 21 253.76
235 19 255.64
252 28 257.51
253 39 259.1
261 66 260.14
252 67 261.45
261 77 261.83
076 87 262.29
259 90 262.28
081 89 260.94
263 79 260.3
267 66 259.46
265 63 258.22
229 62 256.08
240 33 253.57
246 23 251.06
232 16 247.44
030 02 244.14
062 12 240.34
063 23 236.18
071 29 233.59
079 37 235.75
089 46 238.78
086 58 243.05
103 44 244.16
107 74 248.98
326 04 252.45
081 16 256.53
081 27 258.94
075 38 259.95
070 44 257.53
081 53 260.46
090 59 261.27
075 67 261.88
085 60 262.93
081 50 261.87
081 50 262.17
076 40 261.12
075 35 260.2
068 28 258.88
068 21 257.1
073 16 255.47
243 24 253.9
322 01 251.66
263 29 248.94
276 16 249.09
266 34 252.07
261 53 254.59
251 35 257.77
266 39 259.41
262 62 261.77
259 64 262.64
257 77 249.54
072 88 252.45
253 87 254.23
080 87 256.86
263 88 258.81
255 83 260.99
075 81 262.22
255 84 262.82
255 79 262.87
269 56 262.76
261 72 261.87
248 79 260.73
231 61 257.53
260 35 254.6
264 33 252.18
285 19 248.5
269 28 242.31
296 14 238.66
084 05 243.12
073 20 249.53
012 10 252.71
068 27 256.7
068 30 259.56
067 45 260.89
078 36 261.85
065 47 262.93
068 55 262.99
077 57 262.72
080 63 262.34
091 66 261.76
076 72 260.86
095 64 259.22
072 48 258.25
071 49 255.97
070 43 253.99
078 37 257.95
072 42 259.04
073 35 260.06
068 24 261.44
074 23 262.37
067 30 262.94
065 24 263.13
030 20 263.29
096 10 261.03
257 39 259.8
261 46 257.74
263 56 255.85
265 54 253.23
276 50 248.45
264 35 245.05
281 32 241.7
280 26 239.99
292 19 244.79
338 06 249.44
302 14 252.53
267 26 254.7
268 27 257.01
255 25 258.93
274 34 260.72
235 63 261.68
262 75 262.56
237 43 263.05
267 88 263.53
260 87 262.65
083 88 261.04
088 82 259.64
086 90 257.54
253 83 255.23
266 56 258.12
268 53 259.35
272 51 260.81
266 38 262.55
263 39 263.24
266 27 263
169 19 262.93
075 07 261.56
059 22 260.12
060 26 258.44
062 28 255.49
062 32 252.3
069 38 248.58
077 37 246.45
081 50 251.66
071 49 256.16
091 49 258.56
076 54 260.44
083 63 261.61
068 45 262.75
069 45 263.02
067 38 263.08
067 37 263.11
065 32 262.2
052 31 261.21
060 26 260.35
032 04 259.56
065 08 258.55
175 07 257.34
299 17 255.45
262 24 252.51
264 33 252.08
268 44 254.48
261 53 257.22
255 44 259.12
274 61 260.07
267 84 261.23
255 62 262.05
265 73 263.2
235 50 263.18
264 77 263.06
262 72 262.45
267 80 261.62
257 87 260.61
283 36 259.35
283 33 257.69
278 35 256.14
247 54 253.83
264 59 253.89
270 44 256.76
269 36 258.45
272 33 259.91
283 30 261.23
274 28 262.23
291 31 262.86
276 13 262.99
050 21 263.06
072 21 263.28
052 30 263.36
062 26 262.17
066 31 260.98
065 43 260.2
065 43 259.29
091 51 256.86
079 51 253.96
069 44 254.57
065 50 257.05
071 41 258.34
069 38 259.95
067 31 260.93
075 32 262.04
110 19 262.71
269 21 263.43
278 40 263.33
287 34 263.01
282 35 262.49
275 41 261.58
278 76 260.9
270 87 259.84
085 89 258.79
247 89 253.87
075 83 255.92
266 70 257.63
269 59 259.52
281 35 244.06
275 35 246.25
277 29 248.38
273 32 250.48
081 41 242.45
064 30 245.94
062 29 249.23
064 36 250.99
068 43 256.36
103 32 258.38
076 26 259.86
081 52 261.05
092 68 262.84
106 40 263.35
074 40 263.97
070 39 263.52
068 28 262.06
056 22 262.95
078 18 263.52
256 15 263.38
270 35 258.79
282 36 262.85
281 34 260.91
271 30 260.18
270 52 258.28
265 63 256.21
259 80 260.2
083 79 262.64
082 74 252.43
260 79 256.36
262 74 258.61
265 70 261.5
283 52 263.05
283 37 244.01
276 36 247.12
275 36 242.6
279 34 246.9
277 37 242.11
278 24 246.87
019 09 241.62
084 21 246.43
072 32 250.24
073 30 253.82
069 39 255.99
083 65 252.12
048 17 256.06
065 28 259.56
069 44 260.76
075 44 262.06
061 20 263.23
074 27 263.77
061 29 263.66
001 18 263.43
072 48 262.23
069 36 260.25
081 34 259.48
058 14 258.3
061 18 256.32
063 26 258.59
109 19 260.28
295 07 261.4
270 66 262.23
269 57 263
279 43 263.4
263 81 263.66
259 61 262.9
271 62 262.11
265 41 260.51
272 41 258.79
271 34 256.81
255 74 253.59
253 81 248.87
268 76 245.65
271 70 241.03
272 54 261.89
270 43 262.76
277 37 263.21
279 34 263.09
077 86 262.68
257 84 261.43
086 89 260.51
269 68 259.32
269 54 258.28
259 48 257.5
268 31 258.2
271 27 259.32
267 23 260.68
297 19 261.63
007 14 262.35
042 21 263
094 26 263.2
071 32 259.02
063 32 260.47
088 29 261.53
064 34 262.34
071 36 262.51
075 63 262.91
085 69 262.95
